                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3568,                 1.9089,                 1.7686,                0.01965,                0.35439,                0.01915,                0.00704,                 2.4119,                    inf,                 3.9997,             0.00055271,             0.00055271,             0.00055271
                      2,                 1.5384,                 1.8646,                 1.9055,                0.24874,                0.40702,                0.20542,                0.07008,                 2.5879,                 3.5485,                 4.2071,              0.0010864,              0.0010864,              0.0010864
                      3,                 1.5013,                 1.7867,                  1.857,                0.09914,                0.21404,                0.04474,                 0.0129,                 2.5918,                 3.4287,                 3.4764,              0.0015981,              0.0015981,              0.0015981
                      4,                 1.4241,                 1.6384,                 1.7923,                0.59196,                0.63941,                0.47442,                0.22942,                 1.9237,                 2.0177,                 2.9385,               0.001568,               0.001568,               0.001568
                      5,                 1.3605,                 1.5326,                 1.7439,                0.63247,                0.56675,                0.60127,                0.37563,                 1.4618,                 1.6103,                 2.2636,               0.001568,               0.001568,               0.001568
                      6,                 1.3176,                 1.4821,                 1.7012,                0.83178,                0.63388,                0.73817,                0.47003,                 1.4084,                 1.2817,                 2.1938,               0.001535,               0.001535,               0.001535
                      7,                 1.2698,                  1.418,                 1.6679,                0.56844,                0.58246,                0.63265,                0.39874,                 1.4532,                 1.6631,                  2.176,               0.001502,               0.001502,               0.001502
                      8,                 1.2265,                 1.3576,                 1.6261,                0.74351,                0.58246,                0.71363,                 0.4775,                 1.2732,                 1.2993,                 2.0079,               0.001469,               0.001469,               0.001469
                      9,                 1.2039,                 1.2993,                 1.6121,                 0.6628,                0.73158,                0.79021,                0.54019,                  1.282,                 1.1684,                 1.9794,               0.001436,               0.001436,               0.001436
                     10,                 1.1785,                 1.2787,                 1.5861,                0.86145,                0.66937,                0.80356,                0.55367,                 1.2532,                 1.1126,                 1.9608,              0.0014029,              0.0014029,              0.0014029
