                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1546,                 1.6591,                 1.5863,                0.81944,                 0.6386,                0.69468,                0.41528,                 1.3115,                 1.5451,                 2.1731,             0.00055271,             0.00055271,             0.00055271
                      2,                 1.2441,                 1.4666,                 1.6502,                0.77386,                0.46842,                0.60169,                0.31922,                 1.5468,                 1.8011,                 2.3983,              0.0010864,              0.0010864,              0.0010864
                      3,                 1.2882,                 1.4407,                 1.6847,                0.73902,                0.52281,                0.70054,                0.45228,                 1.3661,                 1.4297,                 2.1277,              0.0015981,              0.0015981,              0.0015981
                      4,                 1.2547,                 1.3697,                 1.6562,                0.75742,                0.67018,                0.73049,                0.47714,                 1.3554,                  1.469,                 2.2488,               0.001568,               0.001568,               0.001568
                      5,                 1.2144,                 1.3153,                 1.6189,                0.64727,                0.64393,                0.65869,                0.40646,                 1.5095,                  1.607,                 2.3194,               0.001568,               0.001568,               0.001568
                      6,                 1.1858,                 1.2547,                  1.596,                 0.7443,                0.71228,                0.78077,                0.52483,                 1.3684,                 1.2609,                 2.0872,               0.001535,               0.001535,               0.001535
                      7,                 1.1431,                 1.2203,                 1.5682,                0.74308,                0.63509,                0.68812,                0.44955,                 1.4016,                 1.3493,                 2.1353,               0.001502,               0.001502,               0.001502
                      8,                 1.0935,                 1.1564,                 1.5238,                0.86335,                0.67225,                0.82237,                 0.5804,                 1.1691,                0.97704,                 1.9143,               0.001469,               0.001469,               0.001469
                      9,                 1.0858,                 1.0905,                 1.5244,                0.83439,                 0.6139,                0.78373,                0.54781,                 1.1202,                 1.0966,                 1.8763,               0.001436,               0.001436,               0.001436
                     10,                 1.0502,                 1.0877,                 1.4873,                0.86563,                0.72966,                0.85409,                0.62991,                 1.1163,                0.95352,                 1.8252,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.0196,                 1.0557,                 1.4634,                0.76388,                0.80773,                0.85621,                0.60652,                 1.1363,                0.91852,                 1.8452,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.0075,                 1.0019,                 1.4662,                0.79313,                0.73131,                0.85435,                0.61975,                  1.078,                0.91572,                 1.7617,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.0194,                 1.0531,                 1.4604,                0.77126,                0.75892,                0.83707,                0.61652,                 1.1254,                  1.004,                 1.8351,              0.0013039,              0.0013039,              0.0013039
                     14,                0.97693,                 1.0153,                 1.4524,                0.81128,                0.72583,                0.84372,                0.62332,                 1.0302,                0.89129,                 1.7371,              0.0012709,              0.0012709,              0.0012709
                     15,                0.99333,                0.98711,                 1.4486,                0.82385,                0.79123,                0.87141,                0.65961,                0.96589,                0.82012,                 1.6551,              0.0012379,              0.0012379,              0.0012379
                     16,                0.96756,                0.94575,                 1.4154,                0.91779,                0.78019,                0.90968,                0.68822,                0.99756,                  0.761,                 1.6942,              0.0012049,              0.0012049,              0.0012049
                     17,                0.96883,                0.94563,                 1.4282,                0.81142,                0.79825,                0.87702,                0.66123,                 1.0115,                0.81479,                 1.7295,              0.0011719,              0.0011719,              0.0011719
                     18,                0.96388,                0.92382,                 1.4089,                0.77623,                0.78596,                0.86744,                0.63933,                 1.0085,                0.81558,                 1.7295,              0.0011389,              0.0011389,              0.0011389
                     19,                0.92099,                 0.9111,                 1.3827,                0.83607,                0.79474,                0.85572,                0.65529,                 1.0097,                0.82837,                 1.6954,              0.0011059,              0.0011059,              0.0011059
                     20,                0.91755,                0.87293,                 1.3965,                0.83086,                0.74912,                0.87234,                0.65761,                 1.0089,                0.84414,                 1.6794,              0.0010729,              0.0010729,              0.0010729
                     21,                0.90877,                0.87117,                 1.3777,                0.88794,                0.73434,                0.87079,                 0.6447,                 1.0561,                0.85692,                 1.7693,              0.0010399,              0.0010399,              0.0010399
                     22,                0.91185,                0.87663,                 1.3765,                 0.8536,                0.80105,                0.87878,                0.65484,                0.99944,                0.81991,                 1.6671,              0.0010069,              0.0010069,              0.0010069
